M01,Z01,E05.318.308,E05.318.760,C17.800.174.255.700,C17.800.815.255.700,F01.145.126.980.875,N01,N06,N05,I01,F01.145,F01.752,F04.711,I02,F03.550.150.150,A12.200.467,J02.200.700.500,J02.500.350.525.500,D27.888.284.101.268,C20.543.312.750,C21.223.750,C08.127.108.495,C08.674.095.495,C20.543.480.680.095.495,C24.102,C24,C26.716,E02.831.489,H02.010.500,B01.050.150.900.649.801.400.112.400.400,B01.050,A13,E05.820.150,G05.355.090,B05.620.136,A10.336.482,F01.145.113,A16.331,E05.017,E05.598,A11.251,IVMENTION,A44,PMID
0,0,0.4,0,0,0,0,0,0.8333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,F,N,2593968
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,19165735
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,F,Y,22078113
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.875,0,0.25,0,0,0,0,0,0,0,0,F,Y,10210694
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,22275533
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,T,N,11021525
0.5,1.0,0.6666667,0.6,0,0,0,0.75,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,N,9255479
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,6540744
0,0,0,0.5,0,0,0,0.75,0.8333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,F,N,12883018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71428573,0,0,0,0,0,0,0,0,0,0,F,Y,18593212
0,0,0,0,0,0,0,0,0.8333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.33333334,F,N,18053681
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44444445,0,0,0,0,0,0,0,0,0,0,F,Y,15805048
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,9463553
0,0,0,0,0,0,0,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,9463554
